Timestamp,Mode,Main,Azimuth(deg),Elevation(deg),Distance(m),RWS(m/s),CNR(dB),Temperature(°C),Relative Humidity(%),Air Pressure(kPa),Wind Speed(m/s),Wind Direction(deg),X Wind Speed(m/s),Y Wind Speed(m/s),Z Wind Speed(m/s),Serial Number,BKS,Wind Shear,Spectrum Width(m/s),Spectrum Intensity(dB),Craft Broaden(m),Craft RWS(m/s),Beta,YawAngle(deg),Index,Cloud Height(m),Aerosol Height(m),Atmospheric Boundary Layer(m)
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,100.0,-14.919,15.48,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.172,0.0,3.33,142.19,5.752,-14.919,-1.025504e-09,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,117.0,-15.336,15.872,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.554,0.0,3.33,142.427,5.449,-15.336,1.3322e-08,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,134.0,-15.427,16.145,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.814,0.0,3.027,142.878,4.844,-15.427,2.793365e-08,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,151.0,-15.442,16.177,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.847,0.0,3.027,142.897,4.541,-15.442,4.543659e-08,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,168.0,-15.548,16.175,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.845,0.0,3.027,142.76,4.541,-15.548,6.9147e-08,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,185.0,-15.76,16.183,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.833,0.0,3.027,142.87,4.844,-15.76,9.661405e-08,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,202.0,-15.778,16.353,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.007,0.0,3.027,143.023,4.844,-15.778,1.316697e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,219.0,-15.527,16.758,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.442,0.0,3.33,143.387,4.844,-15.527,1.66312e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,236.0,-15.245,17.353,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,144.068,0.0,3.33,143.957,4.541,-15.245,1.937792e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,253.0,-15.037,17.566,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,144.306,0.0,3.027,144.109,4.844,-15.037,2.243887e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,270.0,-14.655,17.538,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,144.298,0.0,3.33,144.186,5.449,-14.655,2.558771e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,287.0,-14.11,17.861,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,144.667,0.0,3.633,144.515,5.449,-14.11,2.877517e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,304.0,-13.789,18.357,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,145.19,0.0,3.33,145.03,4.844,-13.789,3.211141e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,321.0,-13.538,18.509,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,145.364,0.0,3.027,145.145,5.146,-13.538,3.569096e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,338.0,-13.244,18.327,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,145.199,0.0,3.33,145.009,5.146,-13.244,3.924652e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,355.0,-13.244,17.534,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,144.373,0.0,3.936,144.262,6.055,-13.244,4.460987e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,372.0,-14.137,16.307,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.082,0.0,4.541,143.041,6.66,-14.137,4.915004e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,389.0,-15.009,16.33,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.045,0.0,3.633,142.958,6.357,-15.009,5.380805e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,406.0,-15.527,16.648,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.329,0.0,3.33,143.275,4.844,-15.527,5.859511e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,423.0,-15.827,16.582,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.241,0.0,3.33,143.173,4.541,-15.827,6.358447e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,440.0,-16.051,16.466,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,143.102,0.0,3.027,143.141,4.844,-16.051,6.882561e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,457.0,-16.129,16.353,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.986,0.0,3.33,142.928,4.541,-16.129,7.431118e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,474.0,-16.078,16.176,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.805,0.0,3.027,142.825,4.844,-16.078,7.986717e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,491.0,-15.827,15.986,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.631,0.0,3.33,142.58,4.541,-15.827,8.521471e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,508.0,-15.563,15.912,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.575,0.0,3.027,142.482,4.844,-15.563,9.010642e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,525.0,-15.485,16.035,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.701,0.0,3.027,142.712,4.541,-15.485,9.472743e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,542.0,-15.482,16.124,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.793,0.0,3.027,142.803,4.541,-15.482,9.938088e-07,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,559.0,-15.427,16.044,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.711,0.0,3.027,142.774,4.844,-15.427,1.035769e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,576.0,-15.279,15.798,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.479,0.0,3.027,142.362,4.541,-15.279,1.068897e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,593.0,-15.176,15.529,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.202,0.0,3.027,142.231,4.541,-15.176,1.097049e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,610.0,-15.021,15.344,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.032,0.0,3.027,141.899,4.844,-15.021,1.125778e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,627.0,-14.885,15.333,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.021,0.0,3.027,142.044,4.844,-14.885,1.164101e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,644.0,-14.743,15.427,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.137,0.0,3.027,141.972,4.844,-14.743,1.216304e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,661.0,-14.77,15.554,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.248,0.0,3.027,142.363,4.844,-14.77,1.268916e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,678.0,-14.698,15.627,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.344,0.0,3.33,142.226,5.146,-14.698,1.317847e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,695.0,-14.537,15.786,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.507,0.0,3.027,142.565,4.844,-14.537,1.368457e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,712.0,-14.349,15.863,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.606,0.0,3.027,142.514,4.541,-14.349,1.421834e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,729.0,-14.28,15.805,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.547,0.0,3.027,142.554,4.541,-14.28,1.476829e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,746.0,-14.228,15.61,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.346,0.0,3.027,142.416,4.844,-14.228,1.532626e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,763.0,-14.256,15.449,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.181,0.0,3.33,142.238,5.146,-14.256,1.589965e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,780.0,-14.582,15.312,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.019,0.0,3.33,142.07,5.146,-14.582,1.645964e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,797.0,-14.964,15.389,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.078,0.0,3.33,142.02,5.449,-14.964,1.702343e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,814.0,-15.13,15.361,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,142.029,0.0,3.027,142.113,4.844,-15.13,1.759875e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,831.0,-15.097,15.189,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.852,0.0,3.027,141.965,4.844,-15.097,1.817605e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,848.0,-15.143,15.124,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.785,0.0,3.027,141.866,4.844,-15.143,1.879339e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,865.0,-15.212,15.176,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.839,0.0,3.027,141.827,4.541,-15.212,1.947551e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,882.0,-15.212,15.103,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.764,0.0,3.027,141.754,4.541,-15.212,2.019454e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,899.0,-15.121,14.966,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.621,0.0,3.027,141.721,4.844,-15.121,2.092683e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,916.0,-14.988,14.901,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.575,0.0,3.027,141.483,4.844,-14.988,2.167132e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,933.0,-15.109,14.858,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.511,0.0,3.027,141.626,4.844,-15.109,2.241055e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,950.0,-15.255,14.933,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.588,0.0,3.33,141.529,4.541,-15.255,2.308907e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,967.0,-15.327,15.029,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.686,0.0,3.027,141.551,4.844,-15.327,2.367047e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,984.0,-15.482,15.035,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.672,0.0,3.027,141.72,4.541,-15.482,2.416537e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1001.0,-15.678,14.848,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.48,0.0,3.027,141.624,4.844,-15.678,2.462137e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1018.0,-15.712,14.761,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.369,0.0,3.027,141.488,4.844,-15.712,2.511201e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1035.0,-15.291,14.492,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.132,0.0,3.33,141.096,5.146,-15.291,2.566333e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1052.0,-14.785,14.662,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.328,0.0,3.027,141.464,5.146,-14.785,2.627125e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1069.0,-14.604,14.847,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.54,0.0,3.33,141.543,4.844,-14.604,2.684678e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1086.0,-14.643,14.744,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.433,0.0,3.027,141.382,4.844,-14.643,2.737053e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1103.0,-14.891,14.764,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.433,0.0,3.33,141.473,4.844,-14.891,2.785633e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1120.0,-15.088,14.892,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.545,0.0,3.027,141.674,4.844,-15.088,2.837238e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1137.0,-14.988,14.877,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.551,0.0,3.33,141.481,5.146,-14.988,2.889511e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1154.0,-14.791,14.882,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.556,0.0,3.027,141.681,4.844,-14.791,2.94316e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1171.0,-14.694,14.997,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.694,0.0,3.027,141.593,4.844,-14.694,2.998671e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1188.0,-14.855,15.043,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.722,0.0,3.027,141.791,4.844,-14.855,3.051711e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1205.0,-15.046,14.746,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,141.415,0.0,3.027,141.301,4.844,-15.046,3.10533e-06,0.0,10.0,,,258.3
2025/10/05 00:00:00.934,0.0,-0.01,57.029,2.875,1222.0,-15.282,14.361,28.4,84.7,100.52,0.0,0.0,0.0,0.0,,2.0,140.995,0.0,3.33,140.95,5.146,-15.282,3.15468e-06,0.0,10.0,,,258.3
